Model,Accuracy,Phishing Precision,Phishing Recall,Phishing F1,ROC-AUC,Phishing Missed,Legitimate Flagged
RNN,0.9993191296206985,0.9997334221926024,0.9986685307236536,0.9992006927329647,0.9999941351635098,20,4
LSTM,0.9923969474311328,0.9925218668625225,0.9896145396444977,0.9910660710714048,0.9996717435877164,156,112
